"Result","","1","2","3","4","5","6","7","8","9","10","11","12"
"HEATING_DEM","","11.173545520566575","8.334559902716903","5.662550976174406","1.8465998328076698","0.30282570027410816","0.0","0.0","0.0","0.0","6.377419295501874","5.465157501943633","9.831431947603049"
"COOLING_DEM","","2.0120623447482022","2.4917590648482935","3.469456251720297","4.589916934142204","5.005361380541887","6.85947043837269","8.250355867096461","9.009693579925893","6.593413681932928","3.1233095012205707","2.586693012412652","2.1120387433890744"
"HEATINGPUMP_DEM","","1.32","1.2","1.38","1.32","1.32","1.32","1.38","1.32","1.32","1.32","1.32","1.38"
"LIGHTING_DEM","","4.242857142857143","3.857142857142857","4.435714285714286","4.242857142857143","4.242857142857143","4.242857142857143","4.435714285714286","4.242857142857143","4.242857142857143","4.242857142857143","4.242857142857143","4.435714285714286"
"HEATING_REQ","ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HEATING_REQ","GAS","392.69016428052305","292.91505470483844","199.008279779041","64.89807468640093","10.642698306470415","0.0","0.0","0.0","0.0","224.132064994659","192.0709584354345","345.52207439534914"
"HEATING_REQ","LOCAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COOLING_REQ","ELEC","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"COOLING_REQ","GAS","76.8865681414657","95.21713063794185","132.57769333440288","175.39365121648635","191.2689534010715","262.11968165445313","315.2693306062728","344.2857629013422","251.95290377756632","119.35045125181487","98.84482410747935","80.70694786613159"
"COOLING_REQ","LOCAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"HEATINGPUMP_REQ","ELEC","216.66666666666669","196.96969696969697","226.5151515151515","216.66666666666669","216.66666666666669","216.66666666666669","226.5151515151515","216.66666666666669","216.66666666666669","216.66666666666669","216.66666666666669","226.5151515151515"
"HEATINGPUMP_REQ","GAS","21.66666666666667","19.6969696969697","22.651515151515152","21.66666666666667","21.66666666666667","21.66666666666667","22.651515151515152","21.66666666666667","21.66666666666667","21.66666666666667","21.66666666666667","22.651515151515152"
"HEATINGPUMP_REQ","LOCAL","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"LIGHTING_REQ","","4.242857142857143","3.857142857142857","4.435714285714286","4.242857142857143","4.242857142857143","4.242857142857143","4.435714285714286","4.242857142857143","4.242857142857143","4.242857142857143","4.242857142857143","4.435714285714286"
"VENTILATING_REQ","","0.5917830425730006","0.7328703131906745","1.0204283093294992","1.349975568865354","1.4721651119240842","2.0174913054037322","2.4265752550283706","2.649909876448792","1.939239318215567","0.9186204415354619","0.7607920624743094","0.6211878657026688"
"HEATING_F_REQ","","431.9591807085754","322.2065601753223","218.90910775694513","71.38788215504103","11.706968137117457","0.0","0.0","0.0","0.0","246.54527149412493","211.27805427897798","380.07428183488406"
"COOLING_F_REQ","","84.57522495561228","104.73884370173604","145.8354626678432","192.933016338135","210.39584874117867","288.3316498198985","346.7962636669001","378.7143391914764","277.148194155323","131.28549637699638","108.7293065182273","88.77764265274475"
"HEATINGPUMP_F_REQ","","619.6666666666667","563.3333333333333","647.8333333333333","619.6666666666667","619.6666666666667","619.6666666666667","647.8333333333333","619.6666666666667","619.6666666666667","619.6666666666667","619.6666666666667","647.8333333333333"
"LIGHTING_F_REQ","","11.667857142857143","10.607142857142858","12.198214285714286","11.667857142857143","11.667857142857143","11.667857142857143","12.198214285714286","11.667857142857143","11.667857142857143","11.667857142857143","11.667857142857143","12.198214285714286"
"VENTILATING_F_REQ","","1.6274033670757517","2.015393361274355","2.806177850656123","3.712432814379724","4.048454057791232","5.548101089860264","6.673081951328019","7.2872521602341775","5.332908125092809","2.52620621422252","2.092178171804351","1.7082666306823393"
